Date	Time	Open	High	Low	Close	Volume
06/01/2022	12:30:00	3319.14	3360.0	3317.39	3359.77	2439.3959
06/01/2022	13:00:00	3359.95	3390.33	3359.61	3379.74	4055.8483
06/01/2022	13:30:00	3379.74	3408.33	3367.58	3405.02	4117.9131
06/01/2022	14:00:00	3404.41	3408.83	3382.78	3385.87	4539.8459
06/01/2022	14:30:00	3385.87	3424.68	3385.87	3393.59	4839.8253
06/01/2022	15:00:00	3393.7	3399.96	3358.6	3378.69	4293.0053
06/01/2022	15:30:00	3378.96	3405.1	3378.96	3396.05	2798.5209
06/01/2022	16:00:00	3396.23	3418.7	3385.4	3394.76	3751.5898
06/01/2022	16:30:00	3394.92	3403.4	3381.88	3400.74	2732.5459
06/01/2022	17:00:00	3400.74	3421.81	3395.66	3421.18	2340.3077
06/01/2022	17:30:00	3421.19	3434.48	3415.22	3422.09	1839.17
06/01/2022	18:00:00	3422.07	3438.2	3416.69	3422.84	1973.9094
06/01/2022	18:30:00	3422.84	3457.32	3416.59	3455.99	2250.4465
06/01/2022	19:00:00	3456.0	3460.9	3437.7	3442.91	1867.9247
06/01/2022	19:30:00	3443.11	3454.11	3435.7	3447.41	1880.9805
06/01/2022	20:00:00	3447.13	3457.97	3428.32	3443.52	1507.3385
06/01/2022	20:30:00	3443.52	3445.44	3419.33	3424.99	1892.6876
06/01/2022	21:00:00	3425.2	3428.75	3413.39	3426.46	1783.8692
06/01/2022	21:30:00	3426.6	3432.9	3421.08	3428.29	787.108
06/01/2022	22:00:00	3428.29	3432.24	3415.47	3428.41	948.7774
06/01/2022	22:30:00	3428.42	3436.82	3415.0	3429.11	1002.0338
06/01/2022	23:00:00	3429.11	3431.36	3406.66	3413.33	1296.4473
06/01/2022	23:30:00	3413.34	3423.87	3405.0	3406.55	764.5224
07/01/2022	00:00:00	3406.69	3416.19	3386.0	3388.72	2505.8062
07/01/2022	00:30:00	3388.71	3393.4	3365.05	3366.5	2857.3692
07/01/2022	01:00:00	3366.55	3385.33	3366.55	3382.13	2082.112
07/01/2022	01:30:00	3382.23	3393.61	3375.72	3390.61	1620.1603
07/01/2022	02:00:00	3390.6	3391.44	3373.45	3382.81	1254.0313
07/01/2022	02:30:00	3382.81	3385.2	3358.06	3360.44	1640.9609
07/01/2022	03:00:00	3360.45	3363.37	3296.2	3308.57	6183.9939
07/01/2022	03:30:00	3308.77	3311.27	3227.52	3237.76	15653.3985
07/01/2022	04:00:00	3237.77	3250.55	3160.0	3191.19	13070.8166
07/01/2022	04:30:00	3190.9	3221.01	3140.33	3216.63	11750.9186
07/01/2022	05:00:00	3216.58	3244.85	3211.22	3233.04	4855.982
07/01/2022	05:30:00	3232.79	3248.08	3217.55	3234.59	3637.812
07/01/2022	06:00:00	3234.88	3234.88	3185.25	3191.22	5002.3755
07/01/2022	06:30:00	3191.23	3200.91	3152.59	3170.08	6879.3701
07/01/2022	07:00:00	3170.09	3178.58	3114.45	3178.01	8241.0553
07/01/2022	07:30:00	3178.0	3204.4	3158.8	3201.39	6212.3837
07/01/2022	08:00:00	3201.38	3283.4	3185.19	3239.66	9336.3778
07/01/2022	08:30:00	3240.0	3258.57	3222.59	3230.64	5058.1488
07/01/2022	09:00:00	3230.33	3268.84	3227.69	3262.69	3376.6205
07/01/2022	09:30:00	3262.19	3274.9	3245.42	3249.97	3387.4704
07/01/2022	10:00:00	3249.77	3265.01	3242.48	3246.68	3279.4447
07/01/2022	10:30:00	3246.41	3246.98	3216.47	3216.78	2685.0044
07/01/2022	11:00:00	3216.78	3235.92	3215.7	3226.0	1940.3369
07/01/2022	11:30:00	3225.99	3233.39	3214.84	3224.67	1478.7772
07/01/2022	12:00:00	3224.67	3257.85	3224.67	3255.88	2676.2766
07/01/2022	12:30:00	3255.73	3263.85	3235.81	3240.73	2526.376
07/01/2022	13:00:00	3240.74	3246.52	3210.53	3225.5	3775.4098
07/01/2022	13:30:00	3225.49	3267.0	3115.0	3165.37	18765.5477
07/01/2022	14:00:00	3166.76	3214.89	3157.4	3212.08	5901.273
07/01/2022	14:30:00	3212.08	3226.44	3181.47	3207.19	5804.8054
07/01/2022	15:00:00	3207.19	3209.2	3162.16	3175.06	4394.3888
07/01/2022	15:30:00	3174.72	3184.4	3062.1	3131.52	13492.8423
07/01/2022	16:00:00	3131.02	3180.2	3090.84	3174.63	14668.6871
07/01/2022	16:30:00	3174.63	3222.3	3163.59	3213.18	7442.4042
07/01/2022	17:00:00	3212.96	3215.35	3181.34	3190.91	3427.5069
07/01/2022	17:30:00	3190.9	3202.88	3173.29	3202.46	1984.4542
07/01/2022	18:00:00	3202.42	3208.55	3173.78	3175.61	2376.0722
07/01/2022	18:30:00	3175.78	3190.0	3156.46	3172.0	2004.6348
07/01/2022	19:00:00	3172.36	3177.04	3144.89	3173.43	2548.4609
07/01/2022	19:30:00	3173.43	3202.03	3168.91	3196.57	2215.2574
07/01/2022	20:00:00	3196.58	3212.37	3182.9	3191.27	1945.2178
07/01/2022	20:30:00	3191.28	3224.0	3188.01	3214.89	2277.6824
07/01/2022	21:00:00	3214.96	3222.51	3204.99	3212.36	2756.8832
07/01/2022	21:30:00	3212.37	3222.4	3212.0	3214.68	1010.2478
07/01/2022	22:00:00	3214.37	3215.95	3196.4	3199.78	2653.9473
07/01/2022	22:30:00	3199.99	3200.0	3165.5	3181.63	1589.93
07/01/2022	23:00:00	3181.63	3186.77	3170.85	3185.59	1291.0841
07/01/2022	23:30:00	3185.93	3198.8	3183.34	3197.44	938.8596
08/01/2022	00:00:00	3197.68	3226.18	3188.4	3219.13	3104.2243
08/01/2022	00:30:00	3219.13	3239.0	3208.0	3235.7	2500.8678
08/01/2022	01:00:00	3235.5	3245.48	3221.25	3227.89	2164.3786
08/01/2022	01:30:00	3227.89	3229.83	3215.69	3217.29	1104.7993
08/01/2022	02:00:00	3217.29	3221.47	3204.77	3208.5	1470.75
08/01/2022	02:30:00	3208.1	3209.94	3189.29	3209.83	1379.8846
08/01/2022	03:00:00	3209.45	3212.91	3181.0	3192.0	1915.9171
08/01/2022	03:30:00	3192.27	3209.75	3186.18	3203.35	1455.745
08/01/2022	04:00:00	3203.19	3217.99	3203.17	3210.6	1075.5799
08/01/2022	04:30:00	3210.65	3226.17	3201.78	3218.49	1312.0039
08/01/2022	05:00:00	3218.31	3218.59	3208.0	3218.43	878.3617
08/01/2022	05:30:00	3218.41	3219.92	3203.93	3214.82	923.7853
08/01/2022	06:00:00	3214.8	3215.6	3204.09	3207.73	718.9118
08/01/2022	06:30:00	3207.74	3222.4	3191.7	3218.6	1647.6812
08/01/2022	07:00:00	3218.71	3228.0	3215.75	3220.32	1090.6407
08/01/2022	07:30:00	3220.33	3223.97	3206.8	3215.42	1116.5186
08/01/2022	08:00:00	3215.31	3237.0	3214.87	3219.4	2169.0768
08/01/2022	08:30:00	3219.08	3223.72	3208.3	3215.0	1536.586
08/01/2022	09:00:00	3215.06	3228.07	3215.06	3221.86	1059.111
08/01/2022	09:30:00	3221.85	3240.55	3218.0	3240.36	1905.5378
08/01/2022	10:00:00	3240.36	3241.94	3226.7	3233.26	977.5757
08/01/2022	10:30:00	3233.24	3247.4	3209.31	3221.16	2864.07
08/01/2022	11:00:00	3221.3	3223.75	3206.35	3217.11	1778.8588
08/01/2022	11:30:00	3216.88	3223.0	3209.08	3220.29	908.1339
08/01/2022	12:00:00	3219.94	3230.0	3211.88	3216.78	1195.996
08/01/2022	12:30:00	3216.78	3217.95	3192.5	3201.3	1991.613
08/01/2022	13:00:00	3201.12	3205.65	3175.96	3199.45	2783.0306
08/01/2022	13:30:00	3199.46	3208.23	3194.58	3200.06	1723.2872
08/01/2022	14:00:00	3200.07	3205.28	3187.35	3190.62	1441.9527
08/01/2022	14:30:00	3190.97	3193.42	3175.4	3176.39	1654.9864
08/01/2022	15:00:00	3176.39	3183.65	3149.41	3161.2	4051.3134
08/01/2022	15:30:00	3161.43	3166.3	3146.7	3160.36	2177.4644
08/01/2022	16:00:00	3160.36	3179.66	3150.0	3157.49	2295.8893
08/01/2022	16:30:00	3156.75	3156.81	3121.52	3129.15	4664.5065
08/01/2022	17:00:00	3129.43	3136.34	3112.92	3116.35	3803.6769
08/01/2022	17:30:00	3116.35	3116.78	3035.63	3040.75	10219.6317
08/01/2022	18:00:00	3040.74	3080.19	3001.7	3062.83	13359.4398
08/01/2022	18:30:00	3062.83	3077.31	3007.02	3009.58	6310.6469
08/01/2022	19:00:00	3009.57	3055.2	3000.0	3019.89	9277.1929
08/01/2022	19:30:00	3019.26	3041.9	3006.02	3028.9	4034.6935
08/01/2022	20:00:00	3028.89	3049.04	3003.68	3034.98	4237.5372
08/01/2022	20:30:00	3034.82	3052.78	3024.13	3032.06	2535.0635
08/01/2022	21:00:00	3032.06	3066.58	3025.88	3066.11	3098.8404
08/01/2022	21:30:00	3066.1	3104.31	3061.61	3078.45	5469.7143
08/01/2022	22:00:00	3078.44	3124.62	3075.89	3124.09	3307.8044
08/01/2022	22:30:00	3124.29	3132.99	3108.42	3119.07	1745.6958
08/01/2022	23:00:00	3118.78	3120.26	3089.73	3091.55	1835.8657
08/01/2022	23:30:00	3091.56	3105.43	3075.06	3080.63	1785.8826
09/01/2022	00:00:00	3080.82	3086.0	3058.43	3074.82	3391.9878
09/01/2022	00:30:00	3074.82	3121.48	3073.6	3119.5	3090.1517
09/01/2022	01:00:00	3119.43	3135.11	3094.42	3096.52	3583.5476
09/01/2022	01:30:00	3096.52	3118.92	3093.31	3115.4	1929.7755
09/01/2022	02:00:00	3115.31	3134.79	3110.71	3132.41	3634.0748
09/01/2022	02:30:00	3132.41	3146.38	3121.19	3137.43	2213.9213
